Estado_Civil,Nacionalidad,Desplazado,Género,Edad_Inscripción,Internacional,Calificación_de_la_madre,Calificación_del_padre,Profesión_de_la_madre,Profesión_del_padre,Necesidades_educativas_especiales,Deudor,Matriculas_al_día,Tasa_Desempleo,Tasa_Inflacion,PIB,Modo_de_Aplicación,Orden_Solicitud,Curso,Asistencia_diurnal_nocturna,Titulacion_previa,Beca_Titular,UC_1er_sem_acreditado,UC_1er_sem_matriculado,UC_1er_sem_evaluaciones,UC_1er_sem_aprobados,UC_1er_sem_grado,UC_1er_sem_sinevaluaciones,UC_2do_sem_acreditado,UC_2do_sem_matriculado,UC_2do_sem_evaluaciones,UC_2do_sem_aprobados,UC_2do_sem_grado,UC_2do_sem_sinevaluaciones,Objetivo
1,1,0,0,0,0,1,0,0,1,0,1,0,12.4,0.5,1.79,1,1,14,1,1,1,1,1,0,0,12,1,1,1,0,0,12.5,1,1
1,1,0,0,1,0,1,0,0,0,0,1,1,8.9,1.4,3.51,1,1,15,1,1,1,1,1,0,1,14.83333333,1,1,1,0,1,14.83333333,1,0
1,1,1,0,0,0,1,0,1,0,0,0,1,12.4,0.5,1.79,1,3,10,1,1,1,1,1,0,1,11.33333333,1,1,1,0,1,11.5,1,0
1,1,1,0,0,0,1,1,1,0,0,0,1,7.6,2.6,0.32,0,1,11,1,1,0,1,1,1,0,11.2,1,1,1,0,0,11.66666667,1,1
1,1,0,0,0,0,1,0,1,1,0,0,1,11.1,0.6,2.02,1,1,12,1,1,1,1,0,1,1,13.86333333,1,1,0,0,0,14.17857143,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,1,1,6,1,1,0,1,0,0,0,12.4,1,1,0,0,0,13.4,1,0
1,1,1,0,1,0,1,1,0,1,0,0,1,12.7,3.7,-1.7,0,2,10,1,1,1,1,1,1,1,12.25,1,1,1,0,1,11.85714286,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,1,3,0,1,1,1,1,0,0,11,1,1,1,0,0,12.6,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,0,2,14,1,1,0,1,0,0,0,14.2,1,1,0,0,0,14.2,1,0
0,1,0,0,0,0,1,1,0,0,0,1,1,8.9,1.4,3.51,0,1,4,1,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
1,1,0,0,0,0,1,0,1,0,0,0,1,16.2,0.3,-0.92,0,1,12,1,0,0,0,0,1,1,14.35,1,0,0,0,1,14.58333333,1,1
1,1,1,0,0,0,1,1,0,0,0,0,0,15.5,2.8,-4.06,0,3,5,1,1,0,1,1,0,1,12.16666667,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,2,11,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,1,0,1,0,1,0,9.4,-0.8,-3.12,0,1,10,1,1,0,0,0,0,0,11.5,1,1,1,0,0,10,1,0
1,1,1,0,0,0,1,0,1,1,0,0,1,8.9,1.4,3.51,0,1,6,1,1,0,1,1,0,0,11,1,1,1,0,0,0,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,0,4,5,1,1,0,1,1,0,1,11.5,1,1,1,0,1,12,1,0
1,1,0,0,0,0,1,1,0,0,0,0,1,9.4,-0.8,-3.12,1,1,3,0,1,0,1,1,0,0,10,1,1,0,0,0,10,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,1,16,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,1,12,1,1,0,1,0,0,0,11.81666667,1,1,0,0,0,11.33333333,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,10.8,1.4,1.74,1,1,6,1,1,0,1,0,0,0,13.75,1,1,0,0,0,14.33333333,0,0
1,1,1,0,0,0,1,0,1,0,0,0,1,13.9,-0.3,0.79,0,1,8,1,1,1,1,1,1,1,15.625,1,1,1,1,1,15.85714286,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,0,1,15,1,1,0,1,1,1,1,11.71428571,1,1,1,0,1,12,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,13,1,0,0,1,0,0,1,12.125,1,1,0,0,0,13.3125,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,1,3,0,1,1,1,1,0,0,10,1,1,1,0,0,0,1,1
1,1,1,0,1,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,3,11,1,1,0,1,1,0,0,11.25,1,1,1,0,0,12.5,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,0,1,12,1,1,1,1,0,1,1,13.74166667,1,1,0,0,0,14.9125,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,1,9,1,0,0,1,0,0,0,11,1,1,0,0,0,13.8,1,0
1,1,0,0,0,0,1,0,1,1,0,0,1,11.1,0.6,2.02,1,1,10,1,1,1,1,1,0,1,12,1,1,1,0,1,12.85714286,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,12,1,1,1,1,0,0,0,11.57142857,1,1,0,0,0,11.57142857,1,0
1,1,1,0,1,0,1,1,0,0,0,0,1,12.7,3.7,-1.7,1,2,11,1,1,0,1,1,0,1,12.85714286,1,1,1,0,0,12.66666667,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,2,14,1,1,0,1,0,0,0,13,1,1,0,0,0,13.2,1,0
1,1,0,0,0,0,1,1,1,1,0,0,1,15.5,2.8,-4.06,1,1,11,1,1,1,1,1,0,0,11,1,1,1,1,0,12,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,1,9,1,1,0,1,0,1,0,12.4,1,1,0,0,0,10.8,1,0
1,1,1,0,0,0,1,0,1,0,0,0,1,12.4,0.5,1.79,1,1,10,1,1,1,1,1,1,0,11.66666667,1,1,1,0,0,12.66666667,1,0
1,1,1,0,0,0,1,0,0,0,0,1,0,16.2,0.3,-0.92,0,1,10,1,1,0,0,0,0,1,11.83333333,1,0,0,1,0,13,1,1
1,1,0,0,1,0,1,0,0,0,0,0,1,10.8,1.4,1.74,1,1,10,1,1,0,1,1,0,1,14,1,1,1,0,1,14,1,0
1,1,0,0,1,0,1,0,1,1,0,0,1,12.7,3.7,-1.7,1,5,12,1,1,1,1,0,1,0,13.67142857,1,1,0,1,0,13.67142857,1,0
1,1,1,0,0,0,1,0,1,1,0,0,0,7.6,2.6,0.32,1,2,9,1,1,0,1,0,0,0,10,1,1,0,0,0,13,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,1,1,10,1,1,0,1,1,1,1,14.5,1,1,1,0,1,15.42857143,1,0
0,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,0,1,15,1,0,0,1,1,0,1,12.16666667,1,1,1,0,1,13.83333333,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,12.4,0.5,1.79,1,1,10,1,1,0,1,1,0,1,11.57142857,1,1,1,1,1,12.33333333,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,4,13,1,1,0,1,0,0,0,12.5,1,1,0,1,0,13.1375,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,0,2,10,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,10.8,1.4,1.74,1,1,14,1,1,0,1,1,1,0,11,1,1,1,0,0,11,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,4,14,1,1,0,1,1,1,1,11.875,1,1,1,0,0,14.6,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,1,9,1,1,0,1,0,0,0,10.5,1,1,0,0,0,0,1,1
1,1,0,0,1,0,1,0,0,0,0,0,1,11.1,0.6,2.02,1,1,9,1,1,0,1,0,0,0,16.2,1,1,0,0,0,16.4,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,1,1,12,1,1,0,1,0,0,0,14.3,1,1,0,0,0,14.05555556,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,0,3,6,1,1,0,1,0,0,0,10.33333333,0,1,0,1,0,13,1,0
1,1,1,0,0,0,1,1,1,1,0,0,1,7.6,2.6,0.32,0,1,12,1,0,0,1,0,0,1,13.33333333,1,1,0,0,1,13.33333333,1,0
1,1,0,0,1,0,1,0,1,0,0,1,1,13.9,-0.3,0.79,1,1,10,1,1,0,1,1,0,1,11.85714286,1,1,1,0,0,11,1,0
1,1,1,0,1,0,1,0,1,0,0,0,1,11.1,0.6,2.02,1,1,16,1,1,0,1,0,0,0,12,1,1,0,0,1,12.66666667,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,1,6,1,1,0,1,0,0,0,12,0,1,0,1,0,12,1,0
1,1,1,0,0,0,1,0,1,0,0,0,0,9.4,-0.8,-3.12,1,4,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,0,1,0,0,0,1,7.6,2.6,0.32,1,4,12,1,1,0,1,0,1,0,13.98,1,1,0,1,0,13.98,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,15,1,1,1,1,1,0,1,13.83333333,1,1,1,0,1,14.42857143,1,0
0,1,0,0,0,0,1,1,0,0,0,0,1,13.9,-0.3,0.79,0,1,17,0,1,0,1,0,1,0,12,1,1,0,0,0,12.85714286,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,12.4,0.5,1.79,1,1,12,1,1,1,1,0,0,0,15.13571429,1,1,0,1,0,15.2875,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,16,1,1,0,1,1,0,0,13.16666667,1,1,1,1,0,12.4,1,0
1,1,0,0,0,0,1,0,0,0,1,0,1,16.2,0.3,-0.92,0,1,12,1,1,0,1,0,0,0,11.2,1,1,0,0,0,12.14,1,0
1,1,0,0,0,0,1,0,1,0,0,0,0,7.6,2.6,0.32,0,2,6,1,1,0,1,0,1,0,10.5,1,1,0,1,0,12.33333333,1,1
1,1,0,0,1,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,2,6,1,1,0,1,1,0,1,14.85714286,1,1,1,0,1,14,1,0
1,1,1,0,0,0,1,0,0,1,0,0,1,10.8,1.4,1.74,1,4,12,1,1,1,1,0,0,0,12.86,1,1,0,0,0,12.86,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,4,5,1,1,1,1,1,0,0,11.6,1,1,1,1,0,11.2,1,0
1,1,1,0,1,0,1,0,0,1,0,0,1,12.7,3.7,-1.7,1,1,2,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,1,0,0,0,1,0,0,1,0,0,1,13.9,-0.3,0.79,0,1,5,1,0,0,0,0,0,0,13.61538462,0,0,0,0,0,14.25,1,0
1,1,0,0,0,0,1,0,1,1,0,0,1,8.9,1.4,3.51,0,1,17,0,0,0,1,0,0,0,15.8,1,1,0,0,0,14.8,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,10,1,1,0,1,1,0,1,14.66666667,1,1,1,0,1,14.57142857,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,1,3,12,1,1,0,1,0,1,0,11.5875,1,1,0,0,0,14.07142857,1,0
1,1,1,0,0,0,1,0,1,0,0,0,1,8.9,1.4,3.51,1,1,10,1,1,1,1,1,0,1,12.33333333,1,1,1,0,1,11.83333333,1,0
1,1,1,0,0,0,1,0,1,1,0,0,1,15.5,2.8,-4.06,1,1,6,1,1,0,1,1,0,1,15.23076923,1,1,1,0,1,12.375,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,1,4,12,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,0,1,17,0,1,0,0,0,0,0,14.14285714,1,0,0,0,0,14.8,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,6,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,1,1,12,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,1,1,15,1,1,0,1,1,0,0,14.2,1,1,1,0,1,14.57142857,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,1,2,12,1,1,0,1,0,1,0,12.92875,1,1,0,1,0,14.0625,1,1
1,1,1,0,0,0,1,0,1,0,0,0,1,11.1,0.6,2.02,1,2,15,1,1,0,1,1,0,1,13.33333333,1,1,1,0,0,12.8,1,0
0,1,1,0,0,0,1,0,0,1,0,0,1,8.9,1.4,3.51,0,1,4,1,1,0,0,0,0,0,13.84615385,1,0,0,0,0,14.09090909,1,0
1,1,0,0,0,0,1,0,0,1,0,0,1,15.5,2.8,-4.06,0,1,10,1,1,0,1,1,0,0,10.6,1,1,1,0,0,10.4,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,1,1,16,1,1,0,1,1,0,0,14.33333333,1,0,0,1,0,12.625,1,0
1,1,1,0,0,0,1,1,1,1,0,0,1,10.8,1.4,1.74,0,3,12,1,1,1,1,0,1,0,13.48714286,1,1,0,1,0,13.48714286,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,1,1,14,1,1,0,1,0,1,0,11.5,1,1,0,0,0,12.8,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,1,1,12,1,1,0,1,0,0,1,11.61428571,1,1,0,1,0,14.0375,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,6,12,1,1,1,1,0,1,0,14.31428571,1,1,0,1,0,14.31428571,1,0
1,1,1,0,0,0,1,0,1,0,0,0,1,12.4,0.5,1.79,1,3,12,1,1,1,1,0,0,1,12.76666667,1,1,0,0,0,12.12857143,1,0
1,1,0,0,1,0,1,1,0,1,0,0,1,10.8,1.4,1.74,0,1,16,1,1,1,1,1,0,1,12.66666667,1,1,1,0,0,12.2,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,1,14,1,1,0,0,1,0,0,11.4,1,1,1,0,0,11.75,1,1
1,1,1,0,0,0,1,0,0,0,0,0,1,7.6,2.6,0.32,1,6,12,1,1,0,1,0,0,1,12.6,1,1,0,0,1,12.6,1,0
1,1,1,0,1,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,1,11,1,1,0,1,1,0,0,11.8,1,1,1,0,0,12.2,1,0
1,1,0,0,1,0,1,0,0,0,0,0,0,13.9,-0.3,0.79,1,1,5,1,1,0,0,1,0,0,12.2,0,1,1,0,0,10.83333333,1,0
1,1,0,0,0,0,1,0,0,0,1,0,1,15.5,2.8,-4.06,1,2,9,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,1,0,0,0,1,0,1,0,0,0,1,10.8,1.4,1.74,0,2,16,1,1,0,1,1,0,0,12.8,1,1,1,0,0,11.66666667,1,1
1,0,1,0,1,1,1,0,1,1,0,0,1,10.8,1.4,1.74,0,3,6,1,1,1,1,0,0,0,12,1,1,0,1,0,13,1,0
1,1,0,1,0,0,1,0,1,0,0,0,1,16.2,0.3,-0.92,0,1,7,1,1,0,1,0,0,0,12,1,1,0,0,0,11,0,1
1,1,0,1,0,0,1,0,0,0,0,1,0,16.2,0.3,-0.92,0,1,5,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1
1,1,0,1,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,4,1,0,1,1,1,1,1,13,1,1,1,0,1,12.625,1,0
1,1,0,1,1,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,1,1,12,1,1,1,1,0,0,0,15.95714286,1,1,0,0,0,15.18888889,1,0
1,1,0,1,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,0,1,7,1,0,0,0,0,0,0,14.2,1,0,0,0,0,13.5,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,3,7,1,1,0,1,0,0,0,11,1,1,1,0,0,0,1,1
1,1,0,1,0,0,1,0,0,0,0,0,1,11.1,0.6,2.02,0,2,9,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1
1,1,1,1,0,0,1,0,1,0,0,0,1,9.4,-0.8,-3.12,0,1,12,1,1,0,1,0,1,0,12.5075,1,1,0,1,0,12.5075,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,1,8,1,1,0,1,0,0,0,11,0,1,0,0,0,12.66666667,1,0
1,1,0,1,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,1,17,0,1,0,1,0,0,0,10,1,1,0,1,0,11.33333333,1,1
1,1,1,1,0,0,1,0,1,1,0,0,1,10.8,1.4,1.74,1,6,5,1,0,0,1,1,0,1,14.16666667,1,1,1,1,1,13.625,1,0
1,1,0,1,0,0,1,0,1,1,0,0,1,7.6,2.6,0.32,1,1,3,0,1,0,1,1,0,1,12.16666667,1,1,1,0,1,12,1,0
0,1,1,1,0,0,1,0,0,0,0,0,0,9.4,-0.8,-3.12,0,1,6,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1
1,1,1,0,0,0,1,0,0,0,0,0,1,8.9,1.4,3.51,0,1,14,1,1,0,1,1,0,1,14.83333333,1,1,1,1,1,13.28571429,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,1,1,9,1,1,1,1,0,0,0,15,1,1,0,0,0,15.2,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,14,1,1,0,1,1,1,0,13.4,1,1,1,0,0,13,1,0
1,1,0,0,0,0,1,0,1,0,0,0,1,16.2,0.3,-0.92,0,1,12,1,0,0,0,0,0,0,16.88571429,1,0,0,0,0,15.74444444,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,1,3,0,1,0,1,1,0,1,12.5,1,0,1,0,1,12.33333333,1,0
1,1,0,0,1,0,1,1,0,0,0,0,1,13.9,-0.3,0.79,1,1,12,1,1,1,1,0,0,0,13.05555556,1,1,0,1,0,15.8125,1,0
0,1,1,0,0,0,1,1,0,0,0,0,1,9.4,-0.8,-3.12,1,1,3,0,1,0,1,1,0,0,13,1,1,1,0,1,14.16666667,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,1,1,5,1,1,0,1,1,0,1,12.83333333,1,1,1,0,1,11.16666667,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,3,9,1,1,0,1,0,0,0,11,1,1,0,0,0,13.2,1,0
1,1,1,0,1,0,1,1,1,1,0,0,1,12.7,3.7,-1.7,1,6,12,1,1,1,1,0,1,0,13.85714286,1,1,0,1,0,13.85714286,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,0,2,9,1,1,0,1,0,0,0,10.75,1,1,0,0,0,10,1,1
1,1,1,0,1,0,1,0,0,0,0,0,1,12.4,0.5,1.79,0,2,15,1,1,0,1,1,0,1,13,1,1,1,0,1,14.16666667,1,0
1,1,1,0,0,0,1,0,0,1,0,0,1,9.4,-0.8,-3.12,1,2,16,1,1,0,1,1,0,0,12.2,1,1,1,0,0,13,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,13.9,-0.3,0.79,1,1,12,1,1,1,1,0,1,0,12.8375,1,1,0,1,0,15.5,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,15.5,2.8,-4.06,0,3,10,1,1,0,1,1,0,0,11.2,1,1,1,0,0,11.6,1,0
1,1,0,0,1,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,15,1,1,1,1,1,0,1,12.66666667,1,1,1,0,1,11.83333333,1,1
1,1,0,0,0,0,1,0,0,0,0,0,1,10.8,1.4,1.74,0,2,13,1,1,0,1,0,0,0,12.22857143,1,0,0,0,0,13.2125,1,0
1,1,1,0,0,0,1,0,0,0,0,0,1,9.4,-0.8,-3.12,1,1,14,1,1,0,1,0,0,0,11.5,1,1,0,0,0,10.75,1,0
1,1,1,0,0,0,1,0,0,0,0,0,0,8.9,1.4,3.51,0,1,6,1,0,0,0,0,0,0,13.66666667,1,0,0,0,1,13.5,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,12,1,0,0,1,0,0,0,12.61428571,1,1,0,0,0,12.61428571,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,16.2,0.3,-0.92,0,1,3,0,1,0,0,0,0,0,10.92307692,1,0,0,0,0,11.45454545,1,0
1,1,0,0,0,0,1,0,0,0,0,0,1,12.7,3.7,-1.7,0,1,5,1,1,0,1,1,0,0,12.4,1,1,1,0,0,12.4,1,0
